Date,Precio Electricidad,Precio Gas,Demanda,Eolica,Fotovoltaica,Hidroelectrica
02/01/2018,994.1929167,6.24,6699.583333,1880.496042,62.03329167,3407.270125
03/01/2018,1448.14125,6.24,7444.458333,1816.303,59.809,4009.812208
04/01/2018,1433.465,4.65,7622.416667,1428.422875,57.88245833,2624.6775
05/01/2018,1511.485417,4.21,7623.25,1705.799,64.20191667,1605.439792
06/01/2018,938.31125,3.77,7227.333333,1672.026542,62.912875,1690.923542
07/01/2018,656.6425,3.33,6389.416667,1980.62425,56.57116667,1786.354542
08/01/2018,990.1920833,2.89,7384.375,1281.199583,61.35966667,1698.151333
09/01/2018,893.3679167,2.93,7754.541667,1670.121208,62.35975,1791.392083
10/01/2018,1333.715,3.16,7747.75,1281.553125,55.54916667,2041.234875
11/01/2018,1478.140833,3.16,7767,1124.906208,66.2985,2028.959875
12/01/2018,1001.260417,4.06,7728.125,1847.205875,68.55158333,1666.832708
13/01/2018,911.2266667,4.41,7288.583333,2221.283625,65.474875,1723.538625
14/01/2018,685.3779167,4.76,6401.541667,2216.781875,49.28379167,1585.557375
15/01/2018,1059.474167,5.11,7325.333333,2334.424375,63.18266667,2003.823333
16/01/2018,1125.205417,5.46,7632.541667,2379.947833,54.56216667,2036.709833
17/01/2018,1206.840417,3.92,7677.833333,1880.562917,58.92345833,2599.836917
18/01/2018,1451.215,3.92,7756.791667,1766.102708,73.24170833,2460.606375
19/01/2018,1593.844583,3.2,7684.791667,1723.394667,74.28545833,2118.995292
20/01/2018,938.30125,3.176666667,7273.833333,2023.655917,53.16954167,2114.989833
21/01/2018,637.6945833,3.153333333,6385.208333,2008.998042,58.157875,1946.627792
22/01/2018,1182.472083,3.13,7408.208333,1119.846292,70.44525,2743.163333
23/01/2018,1371.7425,3.35,7803.75,2146.373375,49.85479167,2484.2465
24/01/2018,1484.409583,3.54,7793.666667,2106.937458,76.43275,2386.7995
25/01/2018,1446.164583,3.54,7647,1945.350125,64.193,1948.367542
26/01/2018,1559.07,3.58,7620.958333,1984.81375,83.41866667,2361.017708
27/01/2018,1100.192917,3.586666667,7234.125,2014.845792,93.21245833,2321.658792
28/01/2018,740.5504167,3.593333333,6286.916667,2221.583,84.12154167,2000.44025
29/01/2018,1481.231667,3.6,7245.125,1902.608375,62.8195,3104.612792
30/01/2018,1927.614167,3.6,7457.75,1159.845333,83.463125,3041.328333
31/01/2018,1071.555417,3.34,7648.791667,1593.302167,66.96520833,3142.936167
01/02/2018,1576.361667,3.06,7621.25,1716.435667,74.0355,2721.692458
02/02/2018,1402.025417,2.91,7548.583333,2179.857583,82.82154167,2586.516542
03/02/2018,1321.780417,2.89,7229.541667,1807.26225,58.271375,2175.185917
04/02/2018,866.55125,2.87,6293.25,1073.705792,81.194125,1861.189542
05/02/2018,966.2454167,2.85,6376.25,1282.238208,64.95916667,2011.530375
06/02/2018,1560.75375,2.75,7425,1630.210708,54.4135,3489.614042
07/02/2018,1700.3725,2.74,7737.25,913.1685,54.933625,3260.191792
08/02/2018,1450.669583,2.74,7719.25,2396.781708,65.81316667,2509.998542
09/02/2018,1449.12,2.66,7563.541667,1986.774417,52.37475,2482.607808
10/02/2018,1325.674167,2.64,7029.083333,1136.381125,101.836375,2390.862167
11/02/2018,1244.38875,2.62,6121.083333,618.0489167,105.4617083,2187.2455
12/02/2018,1380.873333,2.6,7089.333333,1715.566958,116.9400833,2651.725042
13/02/2018,1560.065833,2.58,7500.333333,2042.612625,72.022,2444.490167
14/02/2018,1524.16375,2.53,7507.958333,2127.018667,115.8745833,3113.294208
15/02/2018,1390.100833,2.49,7683.458333,2290.707708,111.0254167,2770.87425
16/02/2018,1453.520833,2.49,7719.875,2087.035958,100.5185417,3060.862125
17/02/2018,1222.21,2.52,7488.833333,1824.972333,123.0155417,2589.192958
18/02/2018,888.1604167,2.55,6562.041667,1898.902167,115.0677083,1796.368375
19/02/2018,1525.191667,2.58,7596.458333,1095.613208,85.69129167,4055.241625
20/02/2018,1769.741667,2.61,7880.125,764.92975,108.5997083,3969.8375
21/02/2018,1661.797917,2.65,7967.875,435.5042083,136.950125,4088.627833
22/02/2018,1319.304583,2.65,8063.375,1214.737375,97.90779167,3062.033667
23/02/2018,1098.49,2.58,8071.125,1778.072708,118.0874167,2831.561958
24/02/2018,1182.5875,2.586666667,7611.583333,1078.313833,92.76433333,3057.583083
25/02/2018,753.7666667,2.593333333,6736.833333,577.15,135.03475,2171.124958
26/02/2018,1137.675833,2.6,7797.208333,458.59775,125.183125,2988.614167
27/02/2018,940.9933333,2.59,8177.625,1637.985,112.966,2480.134667
28/02/2018,1064.439583,2.66,8131.666667,892.190875,116.6767917,2958.768125
01/03/2018,962.15375,2.67,8207.208333,830.0580417,136.0977083,3310.072958
02/03/2018,990.8304167,2.67,8195.583333,2135.179375,115.9545833,2627.099333
03/03/2018,872.4733333,2.68,7900.625,2191.342292,135.03925,2405.7385
04/03/2018,685.11,2.69,6909.458333,1983.092292,143.7893333,2209.602875
05/03/2018,1223.409167,2.7,7914.041667,890.7537083,140,3969.178042
06/03/2018,1756.47625,2.7,8424.208333,631.7664167,133.8928333,3462.30425
07/03/2018,1069.454167,2.8,8416.375,2107.145125,153.482,2468.309167
08/03/2018,1117.45625,2.8,8377.583333,2169.014917,132.2589167,2747.28825
09/03/2018,1481.522083,2.71,8345.458333,900.8500417,122.194875,3817.635042
10/03/2018,1630.001667,2.733333333,7953.625,450.5397917,140.7365,3567.105208
11/03/2018,978.905,2.756666667,7054.916667,483.5995417,122.875,2704.422458
12/03/2018,1205.884583,2.78,8120.541667,2149.31675,155.32375,3358.778333
13/03/2018,1550.75125,2.76,8357.5,2153.266083,159.7715,3419.877208
14/03/2018,1568.595417,2.69,8425.791667,2202.924708,149.5123333,3287.12725
15/03/2018,1514.7125,2.7,8395.25,1866.544083,125.8748333,3070.925292
16/03/2018,1706.151667,2.62,8340.958333,565.1336667,155.7991667,3878.492025
17/03/2018,1383.810417,2.62,7982.375,474.0402083,147.0609583,3908.303583
18/03/2018,985.8604167,2.62,6956,600.3225833,148.853,2292.042792
19/03/2018,860.6879167,2.62,7120.708333,718.6582917,162.9017917,2753.188333
20/03/2018,1876.374583,2.71,8185.458333,1149.241083,162.497875,3779.775042
21/03/2018,1282.179167,2.74,8500.791667,2290.365875,156.8606667,3332.968583
22/03/2018,1247.74,2.62,8552.25,2257.345375,151.2365417,2970.460125
23/03/2018,1255.02875,2.58,8578.875,2297.177167,144.759,3637.791042
24/03/2018,1158.624167,2.596666667,8198.75,1252.347458,146.1557083,3783.632292
25/03/2018,1082.584583,2.613333333,7197.166667,610.05775,150.6905417,2460.746042
26/03/2018,1815.24125,2.63,8214.75,774.8087917,150.15375,4509.375125
27/03/2018,2212.36125,2.6,8437.25,722.3450417,134.2117917,4544.530917
28/03/2018,2202.675833,2.64,8273.125,803.4799167,149.3886667,4193.963167
29/03/2018,1142.878333,2.81,7494.125,651.2861667,158.2255833,2656.702167
30/03/2018,570.10875,2.795,6350.833333,1705.716708,162.7000833,1767.088917
31/03/2018,583.5275,2.78,6480.458333,2233.215,153.7619583,2169.339417
01/04/2018,537.66875,2.765,6549.01385,1943.452792,155.999125,1942.229375
02/04/2018,1009.273478,2.75,7964.666667,1123.070708,163.4175833,4788.158542
03/04/2018,1735.375833,2.75,8429.5,990.8020833,155.5336667,5145.279292
04/04/2018,1632.872083,2.81,8520.833333,732.4465,170.5895417,3754.996458
05/04/2018,1514.020417,2.81,8568.958333,1494.141875,172.023625,4006.485458
06/04/2018,2195.240417,2.81,8582.458333,912.64725,180.9590417,4802.372208
07/04/2018,1611.589583,2.8,8147,930.0469583,184.387,3343.592208
08/04/2018,1091.375,2.79,7168.75,475.2859167,191.4345833,2010.188167
09/04/2018,3544.286667,2.78,8213.416667,719.9069583,188.5183125,5108.87625
10/04/2018,3012.68375,2.78,8537.333333,1247.599,161.632,4835.83775
11/04/2018,1655.225833,2.74,8319.791667,2086.876667,193.1339583,3261.719917
12/04/2018,1695.31625,2.76,8338.333333,1605.089708,166.168,4021.720625
13/04/2018,1943.520833,2.82,8353.291667,1287.537,201.0401667,4411.131333
14/04/2018,1762.049167,2.84,7981.833333,1169.1805,217.000375,3200.31375
15/04/2018,786.3075,2.86,6979.083333,2125.725708,221.1297917,1790.124125
16/04/2018,969.0433333,2.88,8104.416667,2472.41925,198.6908333,2484.489542
17/04/2018,949.93,2.84,8537.875,2202.897667,188.9779583,3390.758042
18/04/2018,1730.430833,2.85,8553,729.6292917,196.2997083,4364.90825
19/04/2018,1546.106667,2.8,8662.583333,2085.183917,192.5061667,3121.358667
20/04/2018,1186.605833,2.78,8732.416667,2486.302667,198.3049167,2910.395042
21/04/2018,1161.272083,2.78,8340.208333,1298.395458,198.381875,3705.960375
